Id,Age,Height_Cm,Weight_Kgs,Overall_Rating,Potential,Value_Euro,International_Reputation(1-5),Skill_Moves(1-5),Crossing,Finishing,Heading_Accuracy,Short_Passing,Volleys,Dribbling,Curve,Freekick_Accuracy,Long_Passing,Ball_Control,Acceleration,Sprint_Speed,Agility,Reactions,Balance,Shot_Power,Jumping,Stamina,Strength,Long_Shots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,Standing_Tackle,Sliding_Tackle,Gk_Diving,Gk_Handling,Gk_Kicking,Gk_Positioning,Gk_Reflexes
232623,22,170.18,71.2,68,78,1300000,1,3,63,62,43,69,33,66,37,55,67,67,66,74,64,63,75,58,71,86,68,67,58,67,57,68,44,57,67,65,61,13,12,8,10,13
143018,35,154.94,83,68,68,475000,1,2,56,63,66,62,57,63,60,44,47,62,69,68,69,68,59,75,75,76,81,64,70,39,67,60,69,64,35,45,47,13,8,15,6,10
183465,27,187.96,78,68,68,750000,2,3,67,63,74,71,64,64,66,47,67,71,60,61,69,60,62,72,76,51,71,70,70,68,67,70,57,69,66,69,64,9,10,15,11,12
246185,21,152.4,69.9,68,77,1400000,1,3,70,55,58,66,66,67,62,58,58,68,83,80,63,64,74,58,73,62,40,52,32,50,64,60,54,67,60,52,41,14,7,9,12,11
244393,20,154.94,73.9,68,80,1600000,1,3,56,54,45,74,49,65,64,61,68,73,67,71,70,62,71,63,56,75,60,58,59,54,56,70,53,64,58,50,52,12,11,13,8,6
233897,27,182.88,72.1,68,68,950000,1,3,65,64,63,63,56,68,55,48,58,66,78,85,77,66,63,68,79,76,71,61,57,26,64,62,58,66,42,32,21,10,12,13,6,8
214441,26,182.88,79.8,68,73,1000000,1,2,52,48,75,65,36,47,37,42,62,54,57,51,50,63,42,41,76,72,83,36,59,66,44,37,44,53,65,63,67,8,8,8,13,14
205225,28,182.88,74.8,68,68,750000,1,2,54,37,68,65,22,45,36,33,58,60,66,68,56,65,68,55,74,65,75,33,65,66,39,35,51,60,68,68,60,13,9,11,8,8
238504,21,172.72,72.1,68,76,1300000,1,3,63,60,59,71,57,70,67,66,65,68,72,67,71,55,74,61,57,66,57,65,61,49,61,69,58,65,38,50,51,7,13,5,9,14
191655,28,187.96,79.8,68,70,725000,2,1,14,12,11,30,14,12,16,12,24,20,36,36,38,66,58,11,68,20,61,19,27,25,16,37,12,56,18,18,12,64,67,66,70,68
234151,22,175.26,72.1,68,76,1100000,1,2,67,33,51,60,38,57,57,45,59,64,75,82,74,66,73,59,73,80,70,48,64,66,48,46,44,61,60,63,67,6,5,10,15,10
